Last Scraped;Experiences Offered;Host Since;Host Response Rate;Host Acceptance Rate;Host Listings Count;Host Total Listings Count;Neighbourhood;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Zipcode;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Calendar Updated;Has Availability;Availability 30;Availability 60;Availability 90;Availability 365;Calendar last Scraped;Number of Reviews;First Review;Last Review;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;License;Jurisdiction Names;Cancellation Policy;Calculated host listings count;Reviews per Month;Geolocation
2017-04-08;none;2015-06-10;88.0;;3.0;3.0;;Palacio;Centro;28005;40.411032491003645;-3.709092420167421;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;;26.0;;;;;1;8;2;30;3 days ago;;10;24;54;145;2017-04-07;79;2015-08-07;2017-04-03;88.0;9.0;9.0;9.0;9.0;10.0;9.0;;;moderate;3.0;3.88;40.411032491,-3.70909242017
2017-04-08;none;2014-03-12;100.0;;1.0;1.0;Almenara;Almenara;Tetuán;28029;40.47106900754391;-3.6890802209019435;Apartment;Entire home/apt;4;1.0;2.0;4.0;Real Bed;;85.0;450.0;1500.0;150.0;30.0;1;0;4;1125;a week ago;;15;39;66;313;2017-04-08;14;2014-03-26;2017-02-28;89.0;10.0;9.0;10.0;10.0;8.0;9.0;;;strict;1.0;0.38;40.4710690075,-3.6890802209
2017-04-08;none;2015-04-22;60.0;;1.0;1.0;Malasaña;Universidad;Centro;28004;40.42586277858817;-3.703186554534295;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;;36.0;;;100.0;;1;0;5;1125;a week ago;;0;13;43;53;2017-04-07;8;2016-06-06;2016-08-15;83.0;9.0;9.0;10.0;10.0;10.0;9.0;;;strict;1.0;0.78;40.4258627786,-3.70318655453
2017-05-08;none;2014-08-28;100.0;;4.0;4.0;Garbatella;VIII Appia Antica;;00145;41.85795002458855;12.48523381491924;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;;50.0;;;100.0;15.0;1;20;2;28;2 weeks ago;;0;0;0;92;2017-05-08;2;2015-11-29;2016-01-01;90.0;10.0;10.0;10.0;10.0;9.0;9.0;;;moderate_new;4.0;0.11;41.8579500246,12.4852338149
2017-04-08;none;2016-08-09;100.0;;1.0;1.0;;San Cristobal;Villaverde;28021;40.34253966289824;-3.685667976259288;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;;17.0;;;;;1;0;1;30;2 weeks ago;;30;60;90;365;2017-04-08;0;;;;;;;;;;;;flexible;1.0;;40.3425396629,-3.68566797626
2017-04-08;none;2016-03-30;;;20.0;20.0;;Embajadores;Centro;28012;40.40819178335699;-3.699539086264735;Apartment;Private room;1;2.0;0.0;1.0;Real Bed;;40.0;;;200.0;30.0;1;0;6;1125;2 days ago;;6;36;66;93;2017-04-07;0;;;;;;;;;;;;strict;20.0;;40.4081917834,-3.69953908626
2017-04-08;none;2013-06-11;100.0;;2.0;2.0;Ciudad Jardin;Ciudad Jardín;Chamartín;28002;40.447501870552934;-3.669542811599865;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;646.0;69.0;450.0;1400.0;110.0;30.0;1;0;5;1125;3 weeks ago;;0;0;4;279;2017-04-07;12;2014-02-05;2017-02-18;93.0;9.0;9.0;10.0;10.0;9.0;9.0;;;strict;2.0;0.31;40.4475018706,-3.6695428116
2017-04-08;none;2015-09-17;;;1.0;1.0;Carabanchel;Buenavista;Carabanchel;28044;40.373240715724585;-3.740990605229878;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;;30.0;;;;;1;0;2;1125;16 months ago;;30;60;90;365;2017-04-08;0;;;;;;;;;;;;flexible;1.0;;40.3732407157,-3.74099060523
2017-04-08;none;2016-09-21;0.0;;1.0;1.0;Goya;Goya;Salamanca;28006;40.42717395240194;-3.6716836757805194;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;;35.0;;;250.0;30.0;1;0;5;1125;7 weeks ago;;0;0;6;281;2017-04-08;1;2016-10-24;2016-10-24;100.0;10.0;10.0;;10.0;;;;;moderate;1.0;0.18;40.4271739524,-3.67168367578
2017-04-08;none;2015-07-15;94.0;;1.0;1.0;Cortes;Cortes;Centro;28014;40.41233983373979;-3.69793531520557;Apartment;Entire home/apt;2;1.0;0.0;1.0;Airbed;;50.0;;;300.0;30.0;1;0;2;30;yesterday;;16;46;76;254;2017-04-08;7;2016-12-11;2017-03-26;100.0;10.0;9.0;10.0;9.0;10.0;10.0;;;strict;1.0;1.76;40.4123398337,-3.69793531521
